date,daypart,station,total_avails,booked,remaining
2024-05-24,LF,KNDO-TV,1,1,0
2024-05-25,LF,KNDO-TV,2,0,2
2024-05-26,LF,KNDO-TV,0,0,0
2024-05-27,LF,KNDO-TV,3,1,2
2024-05-28,LF,KNDO-TV,4,2,2
2024-05-29,LF,KNDO-TV,2,1,1
2024-05-30,LF,KNDO-TV,0,0,0
2024-05-31,LF,KNDO-TV,2,0,2
2024-06-01,LF,KNDO-TV,1,0,1
2024-06-02,LF,KNDO-TV,2,1,1
2024-06-03,LF,KNDO-TV,2,1,1
2024-06-04,LF,KNDO-TV,3,1,2
2024-06-05,LF,KNDO-TV,3,2,1
2024-06-06,LF,KNDO-TV,4,4,0
2024-06-07,LF,KNDO-TV,3,2,1
2024-06-08,LF,KNDO-TV,2,0,2
2024-06-09,LF,KNDO-TV,2,0,2
2024-06-10,LF,KNDO-TV,0,0,0
2024-06-11,LF,KNDO-TV,6,4,2
2024-06-12,LF,KNDO-TV,1,0,1
2024-06-13,LF,KNDO-TV,3,2,1
2024-06-14,LF,KNDO-TV,0,0,0
2024-06-15,LF,KNDO-TV,2,2,0
2024-06-16,LF,KNDO-TV,3,2,1
2024-06-17,LF,KNDO-TV,3,2,1
2024-06-18,LF,KNDO-TV,1,1,0
2024-06-19,LF,KNDO-TV,2,1,1
2024-06-20,LF,KNDO-TV,2,2,0
2024-06-21,LF,KNDO-TV,2,1,1
2024-06-22,LF,KNDO-TV,1,0,1
2024-06-23,LF,KNDO-TV,2,2,0
2024-06-24,LF,KNDO-TV,2,1,1
2024-06-25,LF,KNDO-TV,3,1,2
2024-06-26,LF,KNDO-TV,1,0,1
2024-06-27,LF,KNDO-TV,2,1,1
2024-06-28,LF,KNDO-TV,1,0,1
2024-06-29,LF,KNDO-TV,2,1,1
2024-06-30,LF,KNDO-TV,0,0,0
2024-07-01,LF,KNDO-TV,4,3,1
2024-07-02,LF,KNDO-TV,5,3,2
2024-07-03,LF,KNDO-TV,2,0,2
2024-07-04,LF,KNDO-TV,2,0,2
2024-07-05,LF,KNDO-TV,0,0,0
2024-07-06,LF,KNDO-TV,3,2,1
2024-07-07,LF,KNDO-TV,3,1,2
2024-07-08,LF,KNDO-TV,2,0,2
2024-07-09,LF,KNDO-TV,2,1,1
2024-07-10,LF,KNDO-TV,3,3,0
2024-07-11,LF,KNDO-TV,3,2,1
2024-07-12,LF,KNDO-TV,2,1,1
2024-07-13,LF,KNDO-TV,3,2,1
2024-07-14,LF,KNDO-TV,1,1,0
2024-07-15,LF,KNDO-TV,3,1,2
2024-07-16,LF,KNDO-TV,1,1,0
2024-07-17,LF,KNDO-TV,0,0,0
2024-07-18,LF,KNDO-TV,3,1,2
2024-07-19,LF,KNDO-TV,1,0,1
2024-07-20,LF,KNDO-TV,1,0,1
2024-07-21,LF,KNDO-TV,1,0,1
2024-07-22,LF,KNDO-TV,2,1,1
2024-07-23,LF,KNDO-TV,1,1,0
2024-07-24,LF,KNDO-TV,2,1,1
2024-07-25,LF,KNDO-TV,1,0,1
2024-07-26,LF,KNDO-TV,2,0,2
2024-07-27,LF,KNDO-TV,2,2,0
2024-07-28,LF,KNDO-TV,1,0,1
2024-07-29,LF,KNDO-TV,4,3,1
2024-07-30,LF,KNDO-TV,1,1,0
2024-07-31,LF,KNDO-TV,2,2,0
2024-08-01,LF,KNDO-TV,2,0,2
2024-08-02,LF,KNDO-TV,0,0,0
2024-08-03,LF,KNDO-TV,1,0,1
2024-08-04,LF,KNDO-TV,0,0,0
2024-08-05,LF,KNDO-TV,1,0,1
2024-08-06,LF,KNDO-TV,0,0,0
2024-08-07,LF,KNDO-TV,1,0,1
2024-08-08,LF,KNDO-TV,3,1,2
2024-08-09,LF,KNDO-TV,3,1,2
2024-08-10,LF,KNDO-TV,2,1,1
2024-08-11,LF,KNDO-TV,1,0,1
2024-08-12,LF,KNDO-TV,2,1,1
2024-08-13,LF,KNDO-TV,2,2,0
2024-08-14,LF,KNDO-TV,1,0,1
2024-08-15,LF,KNDO-TV,3,1,2
2024-08-16,LF,KNDO-TV,1,1,0
2024-08-17,LF,KNDO-TV,1,1,0
2024-08-18,LF,KNDO-TV,1,0,1
2024-08-19,LF,KNDO-TV,2,1,1
2024-08-20,LF,KNDO-TV,3,1,2
2024-08-21,LF,KNDO-TV,2,1,1
2024-08-22,LF,KNDO-TV,2,1,1
2024-08-23,LF,KNDO-TV,2,1,1
2024-08-24,LF,KNDO-TV,1,0,1
2024-08-25,LF,KNDO-TV,0,0,0
2024-08-26,LF,KNDO-TV,1,1,0
2024-08-27,LF,KNDO-TV,2,1,1
2024-08-28,LF,KNDO-TV,2,0,2
2024-08-29,LF,KNDO-TV,2,1,1
2024-08-30,LF,KNDO-TV,4,3,1
2024-08-31,LF,KNDO-TV,3,2,1
2024-09-01,LF,KNDO-TV,1,0,1
2024-09-02,LF,KNDO-TV,1,1,0
2024-09-03,LF,KNDO-TV,1,0,1
2024-09-04,LF,KNDO-TV,1,0,1
2024-09-05,LF,KNDO-TV,3,2,1
2024-09-06,LF,KNDO-TV,1,0,1
2024-09-07,LF,KNDO-TV,1,1,0
2024-09-08,LF,KNDO-TV,2,1,1
2024-09-09,LF,KNDO-TV,3,2,1
2024-09-10,LF,KNDO-TV,1,0,1
2024-09-11,LF,KNDO-TV,1,0,1
2024-09-12,LF,KNDO-TV,0,0,0
2024-09-13,LF,KNDO-TV,2,1,1
2024-09-14,LF,KNDO-TV,2,0,2
2024-09-15,LF,KNDO-TV,2,1,1
2024-09-16,LF,KNDO-TV,1,0,1
2024-09-17,LF,KNDO-TV,1,0,1
2024-09-18,LF,KNDO-TV,0,0,0
2024-09-19,LF,KNDO-TV,2,1,1
2024-09-20,LF,KNDO-TV,2,1,1
2024-09-21,LF,KNDO-TV,2,1,1
2024-09-22,LF,KNDO-TV,2,0,2
2024-09-23,LF,KNDO-TV,2,1,1
2024-09-24,LF,KNDO-TV,1,0,1
2024-09-25,LF,KNDO-TV,3,1,2
2024-09-26,LF,KNDO-TV,3,2,1
2024-09-27,LF,KNDO-TV,2,1,1
2024-09-28,LF,KNDO-TV,1,1,0
2024-09-29,LF,KNDO-TV,1,0,1
2024-09-30,LF,KNDO-TV,1,1,0
2024-10-01,LF,KNDO-TV,2,2,0
2024-10-02,LF,KNDO-TV,1,1,0
2024-10-03,LF,KNDO-TV,3,2,1
2024-10-04,LF,KNDO-TV,0,0,0
2024-10-05,LF,KNDO-TV,0,0,0
2024-10-06,LF,KNDO-TV,2,0,2
2024-10-07,LF,KNDO-TV,1,1,0
2024-10-08,LF,KNDO-TV,2,1,1
2024-10-09,LF,KNDO-TV,1,1,0
2024-10-10,LF,KNDO-TV,1,0,1
2024-10-11,LF,KNDO-TV,1,0,1
2024-10-12,LF,KNDO-TV,1,1,0
2024-10-13,LF,KNDO-TV,0,0,0
2024-10-14,LF,KNDO-TV,0,0,0
2024-10-15,LF,KNDO-TV,3,1,2
2024-10-16,LF,KNDO-TV,2,1,1
2024-10-17,LF,KNDO-TV,1,0,1
2024-10-18,LF,KNDO-TV,2,1,1
2024-10-19,LF,KNDO-TV,0,0,0
2024-10-20,LF,KNDO-TV,0,0,0
2024-10-21,LF,KNDO-TV,2,2,0
2024-10-22,LF,KNDO-TV,0,0,0
2024-10-23,LF,KNDO-TV,1,0,1
2024-10-24,LF,KNDO-TV,1,0,1
2024-10-25,LF,KNDO-TV,3,2,1
2024-10-26,LF,KNDO-TV,1,0,1
2024-10-27,LF,KNDO-TV,1,0,1
2024-10-28,LF,KNDO-TV,3,1,2
2024-10-29,LF,KNDO-TV,3,1,2
2024-10-30,LF,KNDO-TV,2,1,1
2024-10-31,LF,KNDO-TV,3,1,2
2024-11-01,LF,KNDO-TV,2,1,1
2024-11-02,LF,KNDO-TV,1,1,0
2024-11-03,LF,KNDO-TV,1,0,1
2024-11-04,LF,KNDO-TV,2,0,2
2024-11-05,LF,KNDO-TV,2,1,1
2024-11-06,LF,KNDO-TV,3,1,2
2024-11-07,LF,KNDO-TV,1,0,1
2024-11-08,LF,KNDO-TV,5,3,2
2024-11-09,LF,KNDO-TV,1,1,0
2024-11-10,LF,KNDO-TV,1,0,1
2024-11-11,LF,KNDO-TV,1,0,1
2024-11-12,LF,KNDO-TV,1,1,0
2024-11-13,LF,KNDO-TV,2,1,1
2024-11-14,LF,KNDO-TV,1,0,1
2024-11-15,LF,KNDO-TV,1,1,0
2024-11-16,LF,KNDO-TV,1,1,0
2024-11-17,LF,KNDO-TV,1,0,1
2024-11-18,LF,KNDO-TV,1,0,1
2024-11-19,LF,KNDO-TV,4,2,2
2024-11-20,LF,KNDO-TV,2,0,2
2024-11-21,LF,KNDO-TV,0,0,0
2024-11-22,LF,KNDO-TV,2,1,1
2024-11-23,LF,KNDO-TV,1,0,1
2024-11-24,LF,KNDO-TV,0,0,0
2024-11-25,LF,KNDO-TV,2,1,1
2024-11-26,LF,KNDO-TV,1,1,0
2024-11-27,LF,KNDO-TV,1,0,1
2024-11-28,LF,KNDO-TV,2,2,0
2024-11-29,LF,KNDO-TV,1,0,1
2024-11-30,LF,KNDO-TV,1,0,1
2024-12-01,LF,KNDO-TV,0,0,0
2024-12-02,LF,KNDO-TV,0,0,0
2024-12-03,LF,KNDO-TV,0,0,0
2024-12-04,LF,KNDO-TV,0,0,0
2024-12-05,LF,KNDO-TV,1,0,1
2024-12-06,LF,KNDO-TV,2,1,1
2024-12-07,LF,KNDO-TV,1,0,1
2024-12-08,LF,KNDO-TV,3,2,1
2024-12-09,LF,KNDO-TV,1,0,1
2024-12-10,LF,KNDO-TV,2,2,0
2024-12-11,LF,KNDO-TV,0,0,0
2024-12-12,LF,KNDO-TV,1,0,1
2024-12-13,LF,KNDO-TV,1,1,0
2024-12-14,LF,KNDO-TV,0,0,0
2024-12-15,LF,KNDO-TV,3,2,1
2024-12-16,LF,KNDO-TV,1,0,1
2024-12-17,LF,KNDO-TV,2,0,2
2024-12-18,LF,KNDO-TV,2,1,1
2024-12-19,LF,KNDO-TV,1,1,0
2024-12-20,LF,KNDO-TV,2,1,1
2024-12-21,LF,KNDO-TV,1,0,1
2024-12-22,LF,KNDO-TV,2,2,0
2024-12-23,LF,KNDO-TV,1,0,1
2024-12-24,LF,KNDO-TV,1,0,1
2024-12-25,LF,KNDO-TV,3,1,2
2024-12-26,LF,KNDO-TV,4,3,1
2024-12-27,LF,KNDO-TV,1,0,1
2024-12-28,LF,KNDO-TV,4,3,1
2024-12-29,LF,KNDO-TV,1,0,1
2024-12-30,LF,KNDO-TV,0,0,0
2024-12-31,LF,KNDO-TV,2,2,0
2025-01-01,LF,KNDO-TV,3,1,2
2025-01-02,LF,KNDO-TV,3,1,2
2025-01-03,LF,KNDO-TV,2,1,1
2025-01-04,LF,KNDO-TV,3,1,2
2025-01-05,LF,KNDO-TV,4,2,2
2025-01-06,LF,KNDO-TV,1,0,1
2025-01-07,LF,KNDO-TV,4,2,2
2025-01-08,LF,KNDO-TV,1,1,0
2025-01-09,LF,KNDO-TV,3,1,2
2025-01-10,LF,KNDO-TV,1,0,1
2025-01-11,LF,KNDO-TV,4,2,2
2025-01-12,LF,KNDO-TV,3,1,2
2025-01-13,LF,KNDO-TV,2,0,2
2025-01-14,LF,KNDO-TV,1,0,1
2025-01-15,LF,KNDO-TV,1,0,1
2025-01-16,LF,KNDO-TV,3,2,1
2025-01-17,LF,KNDO-TV,1,0,1
2025-01-18,LF,KNDO-TV,2,1,1
2025-01-19,LF,KNDO-TV,0,0,0
2025-01-20,LF,KNDO-TV,1,0,1
2025-01-21,LF,KNDO-TV,1,0,1
2025-01-22,LF,KNDO-TV,1,1,0
2025-01-23,LF,KNDO-TV,1,0,1
2025-01-24,LF,KNDO-TV,2,1,1
2025-01-25,LF,KNDO-TV,1,0,1
2025-01-26,LF,KNDO-TV,2,0,2
2025-01-27,LF,KNDO-TV,3,1,2
2025-01-28,LF,KNDO-TV,1,0,1
2025-01-29,LF,KNDO-TV,0,0,0
2025-01-30,LF,KNDO-TV,4,3,1
2025-01-31,LF,KNDO-TV,2,1,1
2025-02-01,LF,KNDO-TV,1,1,0
2025-02-02,LF,KNDO-TV,3,1,2
2025-02-03,LF,KNDO-TV,1,0,1
2025-02-04,LF,KNDO-TV,2,1,1
2025-02-05,LF,KNDO-TV,1,0,1
2025-02-06,LF,KNDO-TV,1,1,0
2025-02-07,LF,KNDO-TV,1,0,1
2025-02-08,LF,KNDO-TV,3,2,1
2025-02-09,LF,KNDO-TV,1,0,1
2025-02-10,LF,KNDO-TV,3,1,2
2025-02-11,LF,KNDO-TV,3,1,2
2025-02-12,LF,KNDO-TV,2,1,1
2025-02-13,LF,KNDO-TV,1,0,1
2025-02-14,LF,KNDO-TV,9,7,2
2025-02-15,LF,KNDO-TV,1,1,0
2025-02-16,LF,KNDO-TV,1,0,1
2025-02-17,LF,KNDO-TV,2,1,1
2025-02-18,LF,KNDO-TV,1,0,1
2025-02-19,LF,KNDO-TV,1,0,1
2025-02-20,LF,KNDO-TV,0,0,0
2025-02-21,LF,KNDO-TV,1,1,0
2025-02-22,LF,KNDO-TV,3,2,1
2025-02-23,LF,KNDO-TV,2,1,1
2025-02-24,LF,KNDO-TV,1,0,1
2025-02-25,LF,KNDO-TV,0,0,0
2025-02-26,LF,KNDO-TV,0,0,0
2025-02-27,LF,KNDO-TV,1,0,1
2025-02-28,LF,KNDO-TV,1,0,1
2025-03-01,LF,KNDO-TV,0,0,0
2025-03-02,LF,KNDO-TV,2,0,2
2025-03-03,LF,KNDO-TV,3,2,1
2025-03-04,LF,KNDO-TV,1,0,1
2025-03-05,LF,KNDO-TV,4,2,2
2025-03-06,LF,KNDO-TV,4,2,2
2025-03-07,LF,KNDO-TV,1,0,1
2025-03-08,LF,KNDO-TV,2,1,1
2025-03-09,LF,KNDO-TV,4,2,2
2025-03-10,LF,KNDO-TV,2,0,2
2025-03-11,LF,KNDO-TV,3,1,2
2025-03-12,LF,KNDO-TV,2,1,1
2025-03-13,LF,KNDO-TV,3,1,2
2025-03-14,LF,KNDO-TV,2,0,2
2025-03-15,LF,KNDO-TV,0,0,0
2025-03-16,LF,KNDO-TV,5,3,2
2025-03-17,LF,KNDO-TV,2,1,1
2025-03-18,LF,KNDO-TV,2,2,0
2025-03-19,LF,KNDO-TV,0,0,0
2025-03-20,LF,KNDO-TV,2,0,2
2025-03-21,LF,KNDO-TV,3,1,2
2025-03-22,LF,KNDO-TV,0,0,0
2025-03-23,LF,KNDO-TV,1,0,1
2025-03-24,LF,KNDO-TV,0,0,0
2025-03-25,LF,KNDO-TV,0,0,0
2025-03-26,LF,KNDO-TV,2,1,1
2025-03-27,LF,KNDO-TV,2,1,1
2025-03-28,LF,KNDO-TV,2,0,2
2025-03-29,LF,KNDO-TV,1,1,0
2025-03-30,LF,KNDO-TV,0,0,0
2025-03-31,LF,KNDO-TV,2,0,2
2024-01-01,EM,KWYB-TV,1,0,1
2024-01-02,EM,KWYB-TV,3,3,0
2024-01-03,EM,KWYB-TV,5,4,1
2024-01-04,EM,KWYB-TV,2,0,2
2024-01-05,EM,KWYB-TV,1,0,1
2024-01-06,EM,KWYB-TV,1,0,1
2024-01-07,EM,KWYB-TV,1,0,1
2024-01-08,EM,KWYB-TV,0,0,0
2024-01-09,EM,KWYB-TV,1,0,1
2024-01-10,EM,KWYB-TV,0,0,0
2024-01-11,EM,KWYB-TV,0,0,0
2024-01-12,EM,KWYB-TV,2,2,0
2024-01-13,EM,KWYB-TV,3,3,0
2024-01-14,EM,KWYB-TV,0,0,0
2024-01-15,EM,KWYB-TV,1,1,0
2024-01-16,EM,KWYB-TV,2,1,1
2024-01-17,EM,KWYB-TV,2,1,1
2024-01-18,EM,KWYB-TV,1,1,0
2024-01-19,EM,KWYB-TV,4,3,1
2024-01-20,EM,KWYB-TV,2,1,1
2024-01-21,EM,KWYB-TV,1,0,1
2024-01-22,EM,KWYB-TV,0,0,0
2024-01-23,EM,KWYB-TV,0,0,0
2024-01-24,EM,KWYB-TV,0,0,0
2024-01-25,EM,KWYB-TV,1,1,0
2024-01-26,EM,KWYB-TV,2,2,0
2024-01-27,EM,KWYB-TV,1,1,0
2024-01-28,EM,KWYB-TV,0,0,0
2024-01-29,EM,KWYB-TV,4,2,2
2024-01-30,EM,KWYB-TV,1,0,1
2024-01-31,EM,KWYB-TV,2,1,1
2024-02-01,EM,KWYB-TV,5,4,1
2024-02-02,EM,KWYB-TV,2,1,1
2024-02-03,EM,KWYB-TV,4,3,1
2024-02-04,EM,KWYB-TV,0,0,0
2024-02-05,EM,KWYB-TV,3,2,1
2024-02-06,EM,KWYB-TV,1,1,0
2024-02-07,EM,KWYB-TV,2,1,1
2024-02-08,EM,KWYB-TV,2,0,2
2024-02-09,EM,KWYB-TV,2,2,0
2024-02-10,EM,KWYB-TV,2,1,1
2024-02-11,EM,KWYB-TV,3,1,2
2024-02-12,EM,KWYB-TV,1,0,1
2024-02-13,EM,KWYB-TV,2,1,1
2024-02-14,EM,KWYB-TV,2,2,0
2024-02-15,EM,KWYB-TV,1,0,1
2024-02-16,EM,KWYB-TV,0,0,0
2024-02-17,EM,KWYB-TV,1,0,1
2024-02-18,EM,KWYB-TV,3,3,0
2024-02-19,EM,KWYB-TV,2,2,0
2024-02-20,EM,KWYB-TV,1,0,1
2024-02-21,EM,KWYB-TV,0,0,0
2024-02-22,EM,KWYB-TV,2,1,1
2024-02-23,EM,KWYB-TV,1,0,1
2024-02-24,EM,KWYB-TV,0,0,0
2024-02-25,EM,KWYB-TV,0,0,0
2024-02-26,EM,KWYB-TV,2,1,1
2024-02-27,EM,KWYB-TV,1,0,1
2024-02-28,EM,KWYB-TV,0,0,0
2024-02-29,EM,KWYB-TV,2,1,1
2024-03-01,EM,KWYB-TV,1,1,0
2024-03-02,EM,KWYB-TV,2,2,0
2024-03-03,EM,KWYB-TV,2,1,1
2024-03-04,EM,KWYB-TV,1,1,0
2024-03-05,EM,KWYB-TV,2,0,2
2024-03-06,EM,KWYB-TV,1,0,1
2024-03-07,EM,KWYB-TV,2,1,1
2024-03-08,EM,KWYB-TV,1,0,1
2024-03-09,EM,KWYB-TV,3,2,1
2024-03-10,EM,KWYB-TV,1,0,1
2024-03-11,EM,KWYB-TV,1,0,1
2024-03-12,EM,KWYB-TV,2,1,1
2024-03-13,EM,KWYB-TV,5,4,1
2024-03-14,EM,KWYB-TV,3,2,1
2024-03-15,EM,KWYB-TV,2,1,1
2024-03-16,EM,KWYB-TV,4,3,1
2024-03-17,EM,KWYB-TV,0,0,0
2024-03-18,EM,KWYB-TV,2,1,1
2024-03-19,EM,KWYB-TV,3,3,0
2024-03-20,EM,KWYB-TV,1,1,0
2024-03-21,EM,KWYB-TV,2,2,0
2024-03-22,EM,KWYB-TV,3,2,1
2024-03-23,EM,KWYB-TV,2,1,1
2024-03-24,EM,KWYB-TV,2,2,0
2024-03-25,EM,KWYB-TV,2,2,0
2024-03-26,EM,KWYB-TV,3,2,1
2024-03-27,EM,KWYB-TV,2,1,1
2024-03-28,EM,KWYB-TV,1,0,1
2024-03-29,EM,KWYB-TV,3,2,1
2024-03-30,EM,KWYB-TV,1,0,1
2024-03-31,EM,KWYB-TV,0,0,0
2024-04-01,EM,KWYB-TV,1,0,1
2024-04-02,EM,KWYB-TV,1,1,0
2024-04-03,EM,KWYB-TV,0,0,0
2024-04-04,EM,KWYB-TV,1,1,0
2024-04-05,EM,KWYB-TV,2,1,1
2024-04-06,EM,KWYB-TV,0,0,0
2024-04-07,EM,KWYB-TV,1,1,0
2024-04-08,EM,KWYB-TV,4,2,2
2024-04-09,EM,KWYB-TV,3,2,1
2024-04-10,EM,KWYB-TV,2,1,1
2024-04-11,EM,KWYB-TV,1,1,0
2024-04-12,EM,KWYB-TV,2,1,1
2024-04-13,EM,KWYB-TV,3,1,2
2024-04-14,EM,KWYB-TV,1,1,0
2024-04-15,EM,KWYB-TV,2,2,0
2024-04-16,EM,KWYB-TV,0,0,0
2024-04-17,EM,KWYB-TV,1,0,1
2024-04-18,EM,KWYB-TV,3,2,1
2024-04-19,EM,KWYB-TV,4,2,2
2024-04-20,EM,KWYB-TV,1,1,0
2024-04-21,EM,KWYB-TV,1,1,0
2024-04-22,EM,KWYB-TV,2,1,1
2024-04-23,EM,KWYB-TV,0,0,0
2024-04-24,EM,KWYB-TV,4,3,1
2024-04-25,EM,KWYB-TV,1,1,0
2024-04-26,EM,KWYB-TV,2,1,1
2024-04-27,EM,KWYB-TV,2,1,1
2024-04-28,EM,KWYB-TV,2,2,0
2024-04-29,EM,KWYB-TV,2,2,0
2024-04-30,EM,KWYB-TV,1,1,0
2024-05-01,EM,KWYB-TV,4,3,1
2024-05-02,EM,KWYB-TV,6,5,1
2024-05-03,EM,KWYB-TV,1,1,0
2024-05-04,EM,KWYB-TV,3,2,1
2024-05-05,EM,KWYB-TV,1,1,0
2024-05-06,EM,KWYB-TV,1,0,1
2024-05-07,EM,KWYB-TV,1,0,1
2024-05-08,EM,KWYB-TV,2,2,0
2024-05-09,EM,KWYB-TV,2,2,0
2024-05-10,EM,KWYB-TV,0,0,0
2024-05-11,EM,KWYB-TV,3,2,1
2024-05-12,EM,KWYB-TV,0,0,0
2024-05-13,EM,KWYB-TV,4,3,1
2024-05-14,EM,KWYB-TV,4,2,2
2024-05-15,EM,KWYB-TV,0,0,0
2024-05-16,EM,KWYB-TV,3,2,1
2024-05-17,EM,KWYB-TV,1,1,0
2024-05-18,EM,KWYB-TV,0,0,0
2024-05-19,EM,KWYB-TV,2,1,1
2024-05-20,EM,KWYB-TV,2,1,1
2024-05-21,EM,KWYB-TV,2,1,1
2024-05-22,EM,KWYB-TV,1,0,1
2024-05-23,EM,KWYB-TV,1,0,1
2024-05-24,EM,KWYB-TV,3,2,1
2024-05-25,EM,KWYB-TV,1,0,1
2024-05-26,EM,KWYB-TV,2,2,0
2024-05-27,EM,KWYB-TV,4,3,1
2024-05-28,EM,KWYB-TV,3,2,1
2024-05-29,EM,KWYB-TV,1,0,1
2024-05-30,EM,KWYB-TV,2,2,0
2024-05-31,EM,KWYB-TV,0,0,0
2024-06-01,EM,KWYB-TV,1,1,0
2024-06-02,EM,KWYB-TV,1,0,1
2024-06-03,EM,KWYB-TV,2,1,1
2024-06-04,EM,KWYB-TV,2,2,0
2024-06-05,EM,KWYB-TV,0,0,0
2024-06-06,EM,KWYB-TV,0,0,0
2024-06-07,EM,KWYB-TV,1,1,0
2024-06-08,EM,KWYB-TV,2,1,1
2024-06-09,EM,KWYB-TV,0,0,0
2024-06-10,EM,KWYB-TV,1,0,1
2024-06-11,EM,KWYB-TV,1,1,0
2024-06-12,EM,KWYB-TV,2,1,1
2024-06-13,EM,KWYB-TV,0,0,0
2024-06-14,EM,KWYB-TV,0,0,0
2024-06-15,EM,KWYB-TV,1,1,0
2024-06-16,EM,KWYB-TV,0,0,0
2024-06-17,EM,KWYB-TV,1,1,0
2024-06-18,EM,KWYB-TV,3,2,1
2024-06-19,EM,KWYB-TV,3,2,1
2024-06-20,EM,KWYB-TV,0,0,0
2024-06-21,EM,KWYB-TV,0,0,0
2024-06-22,EM,KWYB-TV,1,0,1
2024-06-23,EM,KWYB-TV,1,0,1
2024-06-24,EM,KWYB-TV,2,2,0
2024-06-25,EM,KWYB-TV,1,1,0
2024-06-26,EM,KWYB-TV,1,0,1
2024-06-27,EM,KWYB-TV,0,0,0
2024-06-28,EM,KWYB-TV,1,1,0
2024-06-29,EM,KWYB-TV,3,2,1
2024-06-30,EM,KWYB-TV,0,0,0
2024-07-01,EM,KWYB-TV,2,1,1
2024-07-02,EM,KWYB-TV,1,1,0
2024-07-03,EM,KWYB-TV,1,1,0
2024-07-04,EM,KWYB-TV,0,0,0
2024-07-05,EM,KWYB-TV,2,1,1
2024-07-06,EM,KWYB-TV,1,0,1
2024-07-07,EM,KWYB-TV,1,1,0
2024-07-08,EM,KWYB-TV,3,1,2
2024-07-09,EM,KWYB-TV,1,0,1
2024-07-10,EM,KWYB-TV,3,3,0
2024-07-11,EM,KWYB-TV,0,0,0
2024-07-12,EM,KWYB-TV,3,2,1
2024-07-13,EM,KWYB-TV,3,2,1
2024-07-14,EM,KWYB-TV,1,1,0
2024-07-15,EM,KWYB-TV,0,0,0
2024-07-16,EM,KWYB-TV,0,0,0
2024-07-17,EM,KWYB-TV,3,2,1
2024-07-18,EM,KWYB-TV,2,2,0
2024-07-19,EM,KWYB-TV,2,1,1
2024-07-20,EM,KWYB-TV,1,0,1
2024-07-21,EM,KWYB-TV,1,1,0
2024-07-22,EM,KWYB-TV,3,2,1
2024-07-23,EM,KWYB-TV,3,2,1
2024-07-24,EM,KWYB-TV,1,1,0
2024-07-25,EM,KWYB-TV,0,0,0
2024-07-26,EM,KWYB-TV,1,1,0
2024-07-27,EM,KWYB-TV,1,0,1
2024-07-28,EM,KWYB-TV,1,0,1
2024-07-29,EM,KWYB-TV,1,1,0
2024-07-30,EM,KWYB-TV,2,2,0
2024-07-31,EM,KWYB-TV,2,2,0
2024-08-01,EM,KWYB-TV,1,0,1
2024-08-02,EM,KWYB-TV,2,1,1
2024-08-03,EM,KWYB-TV,1,0,1
2024-08-04,EM,KWYB-TV,1,0,1
2024-08-05,EM,KWYB-TV,1,0,1
2024-08-06,EM,KWYB-TV,1,0,1
2024-08-07,EM,KWYB-TV,1,0,1
2024-08-08,EM,KWYB-TV,1,0,1
2024-08-09,EM,KWYB-TV,1,1,0
2024-08-10,EM,KWYB-TV,2,2,0
2024-08-11,EM,KWYB-TV,2,1,1
2024-08-12,EM,KWYB-TV,2,1,1
2024-08-13,EM,KWYB-TV,1,0,1
2024-08-14,EM,KWYB-TV,2,1,1
2024-08-15,EM,KWYB-TV,3,2,1
2024-08-16,EM,KWYB-TV,1,0,1
2024-08-17,EM,KWYB-TV,1,1,0
2024-08-18,EM,KWYB-TV,0,0,0
2024-08-19,EM,KWYB-TV,1,0,1
2024-08-20,EM,KWYB-TV,1,0,1
2024-08-21,EM,KWYB-TV,1,0,1
2024-08-22,EM,KWYB-TV,0,0,0
2024-08-23,EM,KWYB-TV,1,0,1
2024-08-24,EM,KWYB-TV,1,1,0
2024-08-25,EM,KWYB-TV,3,2,1
2024-08-26,EM,KWYB-TV,1,0,1
2024-08-27,EM,KWYB-TV,1,1,0
2024-08-28,EM,KWYB-TV,1,0,1
2024-08-29,EM,KWYB-TV,3,2,1
2024-08-30,EM,KWYB-TV,2,1,1
2024-08-31,EM,KWYB-TV,1,1,0
2024-09-01,EM,KWYB-TV,3,2,1
2024-09-02,EM,KWYB-TV,1,0,1
2024-09-03,EM,KWYB-TV,1,1,0
2024-09-04,EM,KWYB-TV,0,0,0
2024-09-05,EM,KWYB-TV,0,0,0
2024-09-06,EM,KWYB-TV,2,1,1
2024-09-07,EM,KWYB-TV,2,0,2
2024-09-08,EM,KWYB-TV,2,2,0
2024-09-09,EM,KWYB-TV,1,1,0
2024-09-10,EM,KWYB-TV,4,4,0
2024-09-11,EM,KWYB-TV,2,1,1
2024-09-12,EM,KWYB-TV,1,0,1
2024-09-13,EM,KWYB-TV,2,1,1
2024-09-14,EM,KWYB-TV,0,0,0
2024-09-15,EM,KWYB-TV,2,0,2
2024-09-16,EM,KWYB-TV,0,0,0
2024-09-17,EM,KWYB-TV,2,1,1
2024-09-18,EM,KWYB-TV,1,0,1
2024-09-19,EM,KWYB-TV,1,1,0
2024-09-20,EM,KWYB-TV,1,0,1
2024-09-21,EM,KWYB-TV,1,1,0
2024-09-22,EM,KWYB-TV,1,1,0
2024-09-23,EM,KWYB-TV,1,0,1
2024-09-24,EM,KWYB-TV,4,3,1
2024-09-25,EM,KWYB-TV,2,2,0
2024-09-26,EM,KWYB-TV,1,1,0
